,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc4930,0.22,0.02,0.23,0.41,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc4931,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc4932,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc4933,0.03,0.03,0.03,0.27,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc4934,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc4935,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc4936,0.03,0.03,0.53,0.03,0.03,0.27,0.03,0.03,0.03,0.03,2
Doc4937,0.01,0.01,0.24,0.01,0.01,0.26,0.01,0.01,0.41,0.01,8
Doc4938,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc4939,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc4940,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc4941,0.48,0.03,0.03,0.03,0.03,0.03,0.32,0.03,0.03,0.03,0
Doc4942,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc4943,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc4944,0.02,0.35,0.02,0.35,0.18,0.02,0.02,0.02,0.02,0.02,1
Doc4945,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc4946,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,2
Doc4947,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc4948,0.03,0.03,0.03,0.03,0.03,0.28,0.3,0.03,0.03,0.25,6
Doc4949,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc4950,0.01,0.01,0.01,0.16,0.01,0.58,0.01,0.16,0.01,0.01,5
Doc4951,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc4952,0.03,0.52,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,1
Doc4953,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc4954,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc4955,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc4956,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc4957,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc4958,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc4959,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc4960,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc4961,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,8
Doc4962,0.01,0.01,0.01,0.01,0.58,0.3,0.01,0.01,0.01,0.01,4
Doc4963,0.03,0.03,0.03,0.52,0.03,0.03,0.28,0.03,0.03,0.03,3
Doc4964,0.3,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.44,0.01,8
Doc4965,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc4966,0.01,0.31,0.01,0.01,0.16,0.43,0.01,0.01,0.01,0.01,5
Doc4967,0.35,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc4968,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc4969,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc4970,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc4971,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0
Doc4972,0.03,0.24,0.56,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc4973,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc4974,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc4975,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc4976,0.01,0.09,0.01,0.21,0.01,0.01,0.01,0.36,0.3,0.01,7
Doc4977,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.56,0.01,0.01,7
Doc4978,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc4979,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.22,0.22,4
Doc4980,0.27,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.28,0.03,8
Doc4981,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc4982,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc4983,0.01,0.01,0.32,0.01,0.17,0.01,0.01,0.41,0.01,0.01,7
Doc4984,0.02,0.61,0.02,0.02,0.02,0.23,0.02,0.02,0.02,0.02,1
Doc4985,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.22,3
Doc4986,0.28,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc4987,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc4988,0.02,0.25,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.19,2
Doc4989,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.27,0.03,4
Doc4990,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,5
Doc4991,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc4992,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc4993,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc4994,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.22,0.02,0.02,5
Doc4995,0.03,0.03,0.28,0.03,0.03,0.03,0.28,0.27,0.03,0.03,2
Doc4996,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc4997,0.03,0.03,0.27,0.03,0.03,0.52,0.03,0.03,0.03,0.03,5
Doc4998,0.42,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0
Doc4999,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,9
Doc5000,0.01,0.01,0.16,0.01,0.32,0.41,0.01,0.01,0.01,0.01,5
Doc5001,0.12,0.01,0.01,0.23,0.24,0.01,0.01,0.34,0.01,0.01,7
Doc5002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5004,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc5005,0.28,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0
Doc5006,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5007,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc5008,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc5009,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc5010,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc5011,0.03,0.52,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,1
Doc5012,0.02,0.02,0.2,0.02,0.02,0.45,0.02,0.02,0.23,0.02,5
Doc5013,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc5014,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.16,6
Doc5015,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.19,0.02,0.02,1
Doc5016,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc5017,0.02,0.02,0.35,0.02,0.18,0.02,0.35,0.02,0.02,0.02,2
Doc5018,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5019,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,1
Doc5020,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0.6,0.02,8
Doc5021,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc5022,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5023,0.02,0.02,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,2
Doc5024,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc5025,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0
Doc5026,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc5027,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.16,0.01,0.16,3
Doc5028,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc5029,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.53,0.03,8
Doc5030,0.64,0.14,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc5031,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc5032,0.01,0.16,0.01,0.59,0.01,0.01,0.01,0.01,0.16,0.01,3
Doc5033,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc5034,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,7
Doc5035,0.01,0.01,0.01,0.2,0.01,0.01,0.16,0.16,0.01,0.4,9
Doc5036,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,1
Doc5037,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc5038,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc5039,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0
Doc5040,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.42,7
Doc5041,0.02,0.02,0.52,0.02,0.35,0.02,0.02,0.02,0.02,0.02,2
Doc5042,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc5043,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc5044,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5045,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,1
Doc5046,0.01,0.12,0.01,0.01,0.5,0.15,0.15,0.01,0.01,0.01,4
Doc5047,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc5048,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc5049,0.02,0.22,0.02,0.02,0.4,0.02,0.24,0.02,0.02,0.02,4
Doc5050,0.01,0.01,0.01,0.51,0.01,0.24,0.01,0.16,0.01,0.01,3
Doc5051,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc5052,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc5053,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc5054,0.42,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0
Doc5055,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5056,0.27,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc5057,0.03,0.03,0.27,0.03,0.27,0.03,0.03,0.03,0.27,0.03,2
Doc5058,0.16,0.01,0.01,0.16,0.01,0.24,0.01,0.01,0.16,0.21,5
Doc5059,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.68,0.02,8
Doc5060,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5061,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc5062,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc5063,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0.03,0
Doc5064,0.01,0.01,0.01,0.12,0.31,0.26,0.24,0.01,0.01,0.01,4
Doc5065,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc5066,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.22,0.02,0.02,2
Doc5067,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc5068,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.68,0.01,0.01,7
Doc5069,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,1
Doc5070,0.14,0.01,0.14,0.01,0.01,0.01,0.51,0.01,0.14,0.01,6
Doc5071,0.14,0.01,0.01,0.39,0.26,0.01,0.01,0.01,0.13,0.01,3
Doc5072,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc5073,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc5074,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc5075,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0.22,0.02,0.4,9
Doc5076,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc5077,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc5078,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.53,0.01,0.01,7
Doc5079,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,1
Doc5080,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5081,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.72,0.01,8
Doc5082,0.3,0.01,0.16,0.16,0.01,0.01,0.01,0.01,0.16,0.16,0
Doc5083,0.03,0.37,0.23,0.03,0.03,0.03,0.03,0.03,0.03,0.23,1
Doc5084,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc5085,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc5086,0.03,0.03,0.32,0.03,0.03,0.03,0.03,0.48,0.03,0.03,7
Doc5087,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,9
Doc5088,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc5089,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc5090,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.27,0.27,7
Doc5091,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,8
Doc5092,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc5093,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.68,9
Doc5094,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,8
Doc5095,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc5096,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc5097,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5098,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc5099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5100,0.29,0.01,0.17,0.16,0.01,0.01,0.01,0.3,0.01,0.01,7
Doc5101,0.01,0.01,0.39,0.01,0.51,0.01,0.01,0.01,0.01,0.01,4
Doc5102,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc5103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5104,0.02,0.02,0.02,0.4,0.22,0.02,0.02,0.02,0.24,0.02,3
Doc5105,0.02,0.02,0.02,0.02,0.02,0.63,0.21,0.02,0.02,0.02,5
Doc5106,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.17,0.37,9
Doc5107,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5108,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5109,0.03,0.48,0.03,0.03,0.03,0.03,0.03,0.32,0.03,0.03,1
Doc5110,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc5111,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5112,0.18,0.01,0.31,0.01,0.16,0.01,0.16,0.01,0.12,0.01,2
Doc5113,0.02,0.52,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.18,1
Doc5114,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.26,1
Doc5115,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc5116,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5117,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc5118,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.42,5
Doc5119,0.03,0.03,0.24,0.03,0.03,0.03,0.03,0.28,0.31,0.03,8
Doc5120,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc5121,0.28,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc5122,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc5123,0.01,0.01,0.32,0.24,0.08,0.01,0.01,0.01,0.14,0.18,2
Doc5124,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5126,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5127,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc5128,0.03,0.03,0.27,0.03,0.27,0.03,0.03,0.28,0.03,0.03,7
Doc5129,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc5130,0.01,0.42,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,6
Doc5131,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.28,9
Doc5132,0.03,0.03,0.03,0.28,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc5133,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc5134,0.39,0.02,0.02,0.02,0.02,0.02,0.45,0.02,0.02,0.02,6
Doc5135,0.01,0.01,0.01,0.12,0.01,0.01,0.57,0.01,0.01,0.23,6
Doc5136,0.3,0.03,0.03,0.03,0.03,0.03,0.5,0.03,0.03,0.03,6
Doc5137,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.27,0.27,0.03,4
Doc5138,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc5139,0.34,0.02,0.02,0.2,0.02,0.02,0.02,0.2,0.02,0.16,0
Doc5140,0.29,0.01,0.01,0.14,0.01,0.01,0.49,0.01,0.01,0.01,6
Doc5141,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc5142,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc5143,0.02,0.02,0.02,0.02,0.02,0.35,0.52,0.02,0.02,0.02,6
Doc5144,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc5145,0.01,0.39,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.14,1
Doc5146,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc5147,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc5148,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc5149,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc5150,0.2,0.02,0.18,0.02,0.02,0.02,0.5,0.02,0.02,0.02,6
Doc5151,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,6
Doc5152,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.43,0.01,3
Doc5153,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc5154,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc5155,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5156,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5157,0.18,0.02,0.18,0.02,0.02,0.52,0.02,0.02,0.02,0.02,5
Doc5158,0.02,0.02,0.5,0.02,0.02,0.18,0.02,0.02,0.2,0.02,2
Doc5159,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0
Doc5160,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5161,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc5162,0.02,0.02,0.02,0.22,0.02,0.22,0.22,0.22,0.02,0.02,3
Doc5163,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.16,0.7,0.01,8
Doc5164,0.02,0.25,0.02,0.02,0.39,0.02,0.02,0.22,0.02,0.02,4
Doc5165,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5166,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc5167,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.71,9
Doc5168,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.6,0.02,0.02,7
Doc5169,0.02,0.42,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.02,1
Doc5170,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc5171,0.03,0.52,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc5172,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5173,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc5174,0.02,0.18,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc5175,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc5176,0.02,0.33,0.21,0.18,0.02,0.02,0.02,0.02,0.02,0.18,1
Doc5177,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc5178,0.02,0.02,0.02,0.61,0.02,0.23,0.02,0.02,0.02,0.02,3
Doc5179,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5180,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc5181,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5182,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc5183,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5184,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.36,0.03,3
Doc5185,0.02,0.02,0.02,0.02,0.02,0.43,0.02,0.02,0.02,0.41,5
Doc5186,0.21,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.16,3
Doc5187,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5188,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5189,0.02,0.02,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,2
Doc5190,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5191,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5192,0.01,0.44,0.01,0.01,0.01,0.3,0.16,0.01,0.01,0.01,1
Doc5193,0.03,0.03,0.03,0.03,0.53,0.27,0.03,0.03,0.03,0.03,4
Doc5194,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.52,9
Doc5195,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc5196,0.02,0.61,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.02,1
Doc5197,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0.68,9
Doc5198,0.01,0.01,0.01,0.11,0.6,0.11,0.01,0.01,0.01,0.11,4
Doc5199,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc5200,0.03,0.03,0.03,0.03,0.27,0.53,0.03,0.03,0.03,0.03,5
Doc5201,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc5202,0.02,0.02,0.25,0.62,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc5203,0.28,0.03,0.03,0.28,0.27,0.03,0.03,0.03,0.03,0.03,0
Doc5204,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc5205,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc5206,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.62,0.02,8
Doc5207,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc5208,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc5209,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc5210,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc5211,0.03,0.03,0.03,0.03,0.52,0.27,0.03,0.03,0.03,0.03,4
Doc5212,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.19,4
Doc5213,0.03,0.03,0.03,0.03,0.53,0.03,0.27,0.03,0.03,0.03,4
Doc5214,0.03,0.03,0.4,0.03,0.4,0.03,0.03,0.03,0.03,0.03,2
Doc5215,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc5216,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc5217,0.03,0.03,0.03,0.03,0.51,0.03,0.03,0.03,0.03,0.29,4
Doc5218,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.27,2
Doc5219,0.01,0.01,0.01,0.01,0.35,0.11,0.01,0.01,0.47,0.01,8
